,LapTime,Driver,LapNumber,Stint,Compound,TyreLife,Team,TrackStatus,Position,FastestQualifyingLapTime
170,100256.0,ALO,15.0,2.0,MEDIUM,4.0,Alpine,1,11.0,91621.0
171,100572.0,ALO,16.0,2.0,MEDIUM,5.0,Alpine,1,9.0,91621.0
172,99434.0,ALO,17.0,2.0,MEDIUM,6.0,Alpine,1,9.0,91621.0
173,99809.0,ALO,18.0,2.0,MEDIUM,7.0,Alpine,1,9.0,91621.0
174,99785.0,ALO,19.0,2.0,MEDIUM,8.0,Alpine,1,9.0,91621.0
175,99874.0,ALO,20.0,2.0,MEDIUM,9.0,Alpine,1,9.0,91621.0
176,100087.0,ALO,21.0,2.0,MEDIUM,10.0,Alpine,1,9.0,91621.0
177,100504.0,ALO,22.0,2.0,MEDIUM,11.0,Alpine,1,9.0,91621.0
178,99922.0,ALO,23.0,2.0,MEDIUM,12.0,Alpine,1,9.0,91621.0
179,100496.0,ALO,24.0,2.0,MEDIUM,13.0,Alpine,1,9.0,91621.0
180,102836.0,ALO,25.0,2.0,MEDIUM,14.0,Alpine,1,10.0,91621.0
181,120922.0,ALO,26.0,3.0,HARD,1.0,Alpine,1,14.0,91621.0
182,97995.0,ALO,27.0,3.0,HARD,2.0,Alpine,1,14.0,91621.0
183,98908.0,ALO,28.0,3.0,HARD,3.0,Alpine,1,14.0,91621.0
184,98680.0,ALO,29.0,3.0,HARD,4.0,Alpine,1,14.0,91621.0
185,98626.0,ALO,30.0,3.0,HARD,5.0,Alpine,1,12.0,91621.0
186,98958.0,ALO,31.0,3.0,HARD,6.0,Alpine,1,11.0,91621.0
187,99153.0,ALO,32.0,3.0,HARD,7.0,Alpine,1,11.0,91621.0
188,99686.0,ALO,33.0,3.0,HARD,8.0,Alpine,1,11.0,91621.0
189,99208.0,ALO,34.0,3.0,HARD,9.0,Alpine,1,11.0,91621.0
190,99214.0,ALO,35.0,3.0,HARD,10.0,Alpine,1,11.0,91621.0
191,99389.0,ALO,36.0,3.0,HARD,11.0,Alpine,1,11.0,91621.0
192,99426.0,ALO,37.0,3.0,HARD,12.0,Alpine,1,10.0,91621.0
193,100034.0,ALO,38.0,3.0,HARD,13.0,Alpine,1,10.0,91621.0
194,100009.0,ALO,39.0,3.0,HARD,14.0,Alpine,1,10.0,91621.0
195,100295.0,ALO,40.0,3.0,HARD,15.0,Alpine,1,11.0,91621.0
196,99854.0,ALO,41.0,3.0,HARD,16.0,Alpine,1,11.0,91621.0
197,102925.0,ALO,42.0,3.0,HARD,17.0,Alpine,1,12.0,91621.0
198,117366.0,ALO,43.0,4.0,SOFT,1.0,Alpine,1,14.0,91621.0
199,96733.0,ALO,44.0,4.0,SOFT,2.0,Alpine,1,14.0,91621.0
200,127867.0,ALO,45.0,4.0,SOFT,3.0,Alpine,64,13.0,91621.0
201,130714.0,ALO,46.0,4.0,SOFT,4.0,Alpine,4,12.0,91621.0
202,111463.0,ALO,47.0,4.0,SOFT,5.0,Alpine,4,12.0,91621.0
203,105574.0,ALO,48.0,4.0,SOFT,6.0,Alpine,4,12.0,91621.0
204,113977.0,ALO,49.0,4.0,SOFT,7.0,Alpine,4,12.0,91621.0
205,133261.0,ALO,50.0,4.0,SOFT,8.0,Alpine,4,12.0,91621.0
206,99006.0,ALO,51.0,4.0,SOFT,9.0,Alpine,1,11.0,91621.0
207,97538.0,ALO,52.0,4.0,SOFT,10.0,Alpine,1,11.0,91621.0
208,97396.0,ALO,53.0,4.0,SOFT,11.0,Alpine,1,11.0,91621.0
209,97303.0,ALO,54.0,4.0,SOFT,12.0,Alpine,1,10.0,91621.0
210,97672.0,ALO,55.0,4.0,SOFT,13.0,Alpine,1,10.0,91621.0
211,97642.0,ALO,56.0,4.0,SOFT,14.0,Alpine,1,10.0,91621.0
212,98986.0,ALO,57.0,4.0,SOFT,15.0,Alpine,1,9.0,91621.0
213,99070.0,LEC,1.0,1.0,SOFT,1.0,Ferrari,1,1.0,90558.0
214,97853.0,LEC,2.0,1.0,SOFT,2.0,Ferrari,1,1.0,90558.0
215,98272.0,LEC,3.0,1.0,SOFT,3.0,Ferrari,1,1.0,90558.0
216,98414.0,LEC,4.0,1.0,SOFT,4.0,Ferrari,1,1.0,90558.0
217,98471.0,LEC,5.0,1.0,SOFT,5.0,Ferrari,1,1.0,90558.0
218,98712.0,LEC,6.0,1.0,SOFT,6.0,Ferrari,1,1.0,90558.0
219,98835.0,LEC,7.0,1.0,SOFT,7.0,Ferrari,1,1.0,90558.0
220,98951.0,LEC,8.0,1.0,SOFT,8.0,Ferrari,1,1.0,90558.0
221,98807.0,LEC,9.0,1.0,SOFT,9.0,Ferrari,1,1.0,90558.0
222,99123.0,LEC,10.0,1.0,SOFT,10.0,Ferrari,1,1.0,90558.0
223,99306.0,LEC,11.0,1.0,SOFT,11.0,Ferrari,1,1.0,90558.0
224,99256.0,LEC,12.0,1.0,SOFT,12.0,Ferrari,1,1.0,90558.0
225,99279.0,LEC,13.0,1.0,SOFT,13.0,Ferrari,1,1.0,90558.0
226,99629.0,LEC,14.0,1.0,SOFT,14.0,Ferrari,1,1.0,90558.0
